,Año,Trimestre,Provincia,Mbps (Media de bajada)
0,2023,4,Buenos Aires,158.49
1,2023,4,Capital Federal,234.44
2,2023,4,Catamarca,89.4
3,2023,4,Chaco,107.14
4,2023,4,Chubut,20.29
5,2023,4,Córdoba,114.03
6,2023,4,Corrientes,100.9
7,2023,4,Entre Ríos,101.18
8,2023,4,Formosa,83.35
9,2023,4,Jujuy,46.2
10,2023,4,La Pampa,25.61
11,2023,4,La Rioja,64.18
12,2023,4,Mendoza,49.46
13,2023,4,Misiones,93.65
14,2023,4,Neuquén,99.63
15,2023,4,Río Negro,74.37
16,2023,4,Salta,83.04
17,2023,4,San Juan,24.78
18,2023,4,San Luis,174.59
19,2023,4,Santa Cruz,36.77
20,2023,4,Santa Fe,99.81
21,2023,4,Santiago Del Estero,44.22
22,2023,4,Tierra Del Fuego,17.92
23,2023,4,Tucumán,101.55
24,2023,3,Buenos Aires,146.84
25,2023,3,Capital Federal,218.13
26,2023,3,Catamarca,87.9
27,2023,3,Chaco,107.5
28,2023,3,Chubut,19.26
29,2023,3,Córdoba,111.5
30,2023,3,Corrientes,99.64
31,2023,3,Entre Ríos,96.26
32,2023,3,Formosa,80.29
33,2023,3,Jujuy,44.55
34,2023,3,La Pampa,24.21
35,2023,3,La Rioja,63.84
36,2023,3,Mendoza,46.96
37,2023,3,Misiones,91.49
38,2023,3,Neuquén,96.57
39,2023,3,Río Negro,70.93
40,2023,3,Salta,80.8
41,2023,3,San Juan,24.45
42,2023,3,San Luis,104.97
43,2023,3,Santa Cruz,15.67
44,2023,3,Santa Fe,97.39
45,2023,3,Santiago Del Estero,41.46
46,2023,3,Tierra Del Fuego,17.17
47,2023,3,Tucumán,98.85
48,2023,2,Buenos Aires,138.35
49,2023,2,Capital Federal,208.01
50,2023,2,Catamarca,86.13
51,2023,2,Chaco,105.45
52,2023,2,Chubut,18.58
53,2023,2,Córdoba,111.82
54,2023,2,Corrientes,97.21
55,2023,2,Entre Ríos,89.37
56,2023,2,Formosa,77.32
57,2023,2,Jujuy,43.56
58,2023,2,La Pampa,22.78
59,2023,2,La Rioja,63.55
60,2023,2,Mendoza,42.69
61,2023,2,Misiones,90.55
62,2023,2,Neuquén,93.97
63,2023,2,Río Negro,70.76
64,2023,2,Salta,79.1
65,2023,2,San Juan,20.39
66,2023,2,San Luis,103.84
67,2023,2,Santa Cruz,15.48
68,2023,2,Santa Fe,94.87
69,2023,2,Santiago Del Estero,37.62
70,2023,2,Tierra Del Fuego,16.92
71,2023,2,Tucumán,96.69
72,2023,1,Buenos Aires,116.18
73,2023,1,Capital Federal,188.65
74,2023,1,Catamarca,87.41
75,2023,1,Chaco,104.33
76,2023,1,Chubut,18.36
77,2023,1,Córdoba,109.57
78,2023,1,Corrientes,94.8
79,2023,1,Entre Ríos,86.71
80,2023,1,Formosa,73.96
81,2023,1,Jujuy,42.75
82,2023,1,La Pampa,20.09
83,2023,1,La Rioja,63.13
84,2023,1,Mendoza,41.45
85,2023,1,Misiones,89.81
86,2023,1,Neuquén,93.42
87,2023,1,Río Negro,74.4
88,2023,1,Salta,76.85
89,2023,1,San Juan,18.7
90,2023,1,San Luis,55.85
91,2023,1,Santa Cruz,14.98
92,2023,1,Santa Fe,92.22
93,2023,1,Santiago Del Estero,36.27
94,2023,1,Tierra Del Fuego,14.58
95,2023,1,Tucumán,95.79
96,2022,4,Buenos Aires,111.0
97,2022,4,Capital Federal,182.86
98,2022,4,Catamarca,83.33
99,2022,4,Chaco,104.02
100,2022,4,Chubut,15.92
101,2022,4,Córdoba,108.77
102,2022,4,Corrientes,94.72
103,2022,4,Entre Ríos,87.47
104,2022,4,Formosa,72.03
105,2022,4,Jujuy,39.32
106,2022,4,La Pampa,19.1
107,2022,4,La Rioja,61.0
108,2022,4,Mendoza,38.76
109,2022,4,Misiones,91.24
110,2022,4,Neuquén,95.37
111,2022,4,Río Negro,75.31
112,2022,4,Salta,75.93
113,2022,4,San Juan,16.39
114,2022,4,San Luis,30.67
115,2022,4,Santa Cruz,14.33
116,2022,4,Santa Fe,90.3
117,2022,4,Santiago Del Estero,34.4
